Boarded_Belfast,Boarded_Cherbourg,Boarded_Queenstown,Boarded_Southampton,Female,Male,Pclass,Cabin,Age_wiki,Fare,Family_Count
0,1,0,0,0,1,3,0,22,7.2292,0
0,0,0,1,1,0,1,1,38,80.0,0
0,0,0,1,0,1,1,1,45,83.475,1
0,0,0,1,0,1,3,0,5,27.9,5
0,1,0,0,0,1,1,0,54,27.7208,0
0,1,0,0,0,1,3,0,7,15.2458,2
0,0,0,1,1,0,2,1,29,10.5,0
0,0,0,1,0,1,3,0,19,8.1583,0
0,0,0,1,1,0,3,0,17,7.925,6
0,0,0,1,0,1,3,0,26,8.6625,2
0,0,0,1,0,1,2,0,32,10.5,0
0,0,0,1,1,0,3,0,16,46.9,7
0,0,0,1,0,1,2,0,21,73.5,0
0,1,0,0,0,1,3,0,26,14.4542,1
0,0,0,1,0,1,3,0,32,56.4958,0
0,0,0,1,0,1,3,1,25,7.65,0
0,0,0,1,0,1,3,0,23,7.8958,0
0,0,0,1,0,1,3,0,28,8.05,0
0,0,0,1,0,1,2,0,0,29.0,2
0,0,0,1,1,0,3,0,31,12.475,0
0,0,0,1,0,1,3,0,22,9.0,0
0,0,0,1,0,1,3,0,29,9.5,0
0,0,1,0,1,0,3,0,31,7.7875,0
0,0,0,1,0,1,1,0,31,47.1,0
0,0,0,1,1,0,2,0,17,10.5,0
0,0,0,1,1,0,3,0,33,15.85,3
0,0,0,1,0,1,3,0,16,34.375,4
0,0,0,1,0,1,3,0,20,8.05,0
0,0,0,1,1,0,1,1,23,263.0,5
0,0,0,1,0,1,3,0,24,8.05,0
0,0,0,1,0,1,3,0,29,8.05,0
0,0,0,1,0,1,3,0,20,7.8542,0
0,0,0,1,0,1,1,1,46,61.175,1
0,0,0,1,0,1,3,0,25,20.575,3
0,0,0,1,0,1,3,0,59,7.25,0
0,0,0,1,0,1,3,0,22,8.05,0
0,1,0,0,0,1,1,1,71,34.6542,0
0,1,0,0,0,1,1,1,23,63.3583,1
0,0,0,1,1,0,2,0,34,23.0,1
0,0,0,1,0,1,2,0,34,26.0,1
0,0,0,1,1,0,3,0,28,7.8958,0
0,0,0,1,0,1,3,0,29,7.8958,0
0,0,0,1,0,1,1,1,21,77.2875,1
0,0,0,1,0,1,3,0,33,8.6542,0
0,0,0,1,0,1,3,0,37,7.925,2
0,0,0,1,0,1,3,0,28,7.8958,0
0,0,0,1,1,0,3,0,21,7.65,0
0,0,0,1,0,1,3,0,29,7.775,0
0,0,0,1,0,1,3,0,38,7.8958,0
0,0,1,0,1,0,3,0,28,24.15,1
0,0,0,1,0,1,1,1,46,52.0,0
0,1,0,0,1,0,3,0,16,14.4542,1
0,0,0,1,0,1,3,0,22,8.05,0
0,0,0,1,1,0,3,0,20,9.825,1
0,1,0,0,1,0,3,0,17,14.4583,0
0,0,0,1,0,1,3,0,21,7.925,0
0,0,1,0,0,1,3,0,61,7.75,0
0,0,0,1,0,1,2,0,29,21.0,1
0,1,0,0,0,1,1,1,24,247.5208,1
0,0,0,1,1,0,3,0,2,31.275,6
0,0,0,1,0,1,2,0,20,73.5,2
0,0,0,1,0,1,3,0,19,8.05,0
0,1,0,0,0,1,2,0,28,30.0708,1
0,0,0,1,1,0,2,1,37,13.0,0
0,0,0,1,0,1,1,1,54,77.2875,1
0,1,0,0,0,1,3,0,12,11.2417,1
0,0,1,0,0,1,3,0,20,7.75,0
0,0,0,1,0,1,3,0,24,7.1417,0
0,1,0,0,1,0,3,1,2,22.3583,2
0,0,0,1,0,1,3,0,45,6.975,0
0,1,0,0,0,1,3,0,33,7.8958,0
0,0,0,1,0,1,3,0,20,7.05,0
0,0,0,1,1,0,3,0,47,14.5,1
0,0,0,1,1,0,2,0,37,26.0,1
0,0,0,1,0,1,2,0,25,13.0,0
0,1,0,0,0,1,2,0,23,15.0458,0
0,0,0,1,1,0,1,1,19,26.2833,2
0,0,0,1,0,1,1,1,37,53.1,1
0,0,0,1,0,1,3,0,16,9.2167,0
0,1,0,0,0,1,1,1,24,79.2,0
0,1,0,0,1,0,3,0,40,15.2458,2
0,0,0,1,1,0,3,0,22,7.75,0
0,0,0,1,1,0,3,0,24,15.85,1
0,0,1,0,0,1,3,0,19,6.75,0
0,0,0,1,0,1,2,0,17,11.5,0
0,0,0,1,0,1,2,0,19,36.75,2
0,0,0,1,0,1,3,0,27,7.7958,0
0,0,0,1,1,0,3,0,7,34.375,4
0,0,0,1,0,1,2,1,32,26.0,2
0,0,0,1,0,1,2,0,42,13.0,0
0,0,0,1,0,1,2,0,51,12.525,0
0,0,0,1,1,0,1,1,22,66.6,1
0,0,0,1,0,1,3,0,48,8.05,0
0,0,0,1,0,1,3,0,35,14.5,2
0,0,0,1,0,1,3,0,27,7.3125,0
0,1,0,0,0,1,1,0,51,61.3792,1
0,0,1,0,1,0,3,0,17,7.7333,0
0,0,0,1,0,1,3,0,30,8.05,0
0,0,0,1,0,1,3,0,37,8.6625,0
0,0,0,1,0,1,3,0,4,69.55,10
0,0,0,1,0,1,3,0,44,16.1,1
0,0,0,1,1,0,2,0,40,15.75,0
0,0,0,1,0,1,3,0,26,7.775,0
0,0,0,1,0,1,3,0,17,8.6625,0
0,0,0,1,0,1,3,0,1,39.6875,5
0,0,0,1,0,1,3,0,9,20.525,2
0,0,0,1,1,0,1,1,48,55.0,1
0,0,0,1,1,0,3,0,43,27.9,5
0,1,0,0,0,1,1,0,60,25.925,0
0,0,0,1,0,1,3,0,24,56.4958,0
1,0,0,0,0,1,1,1,61,33.5,0
0,0,1,0,0,1,3,0,4,29.125,5
0,0,0,1,1,0,3,0,1,11.1333,2
0,0,0,1,0,1,3,0,21,7.925,0
0,1,0,0,0,1,1,1,56,30.6958,0
0,0,0,1,0,1,3,0,18,7.8542,2
0,0,0,1,0,1,3,0,5,25.4667,4
0,1,0,0,1,0,1,1,50,28.7125,0
0,0,0,1,0,1,2,0,30,13.0,0
0,0,0,1,0,1,3,0,36,0.0,0
0,0,0,1,1,0,3,0,7,69.55,10
0,1,0,0,0,1,2,0,39,15.05,0
0,0,0,1,0,1,3,0,9,31.3875,6
0,0,0,1,0,1,2,1,1,39.0,3
0,0,0,1,1,0,3,0,4,22.025,2
0,0,0,1,0,1,1,1,38,50.0,0
0,0,1,0,1,0,3,0,26,15.5,1
0,0,0,1,0,1,1,0,45,26.55,0
0,0,1,0,0,1,3,0,42,15.5,2
0,0,0,1,0,1,3,0,36,7.8958,0
0,0,0,1,1,0,2,0,21,13.0,0
0,0,0,1,0,1,2,0,19,13.0,0
0,0,0,1,1,0,3,0,19,7.8542,1
0,0,0,1,0,1,2,1,3,26.0,2
0,1,0,0,1,0,1,1,44,27.7208,0
0,1,0,0,1,0,1,1,59,146.5208,0
0,0,1,0,0,1,3,0,26,7.75,0
0,0,0,1,0,1,3,0,42,8.4042,1
0,0,1,0,1,0,3,0,21,7.75,0
0,0,0,1,1,0,2,0,24,13.0,0
0,0,0,1,0,1,3,0,28,9.5,0
0,0,0,1,0,1,3,0,16,69.55,10
0,0,0,1,0,1,3,0,34,6.4958,0
0,1,0,0,0,1,3,0,45,7.225,0
0,0,0,1,0,1,3,0,18,8.05,0
0,0,0,1,1,0,3,1,2,10.4625,1
0,0,0,1,0,1,3,0,32,15.85,1
0,1,0,0,0,1,3,0,26,18.7875,0
0,0,1,0,1,0,3,0,16,7.75,0
0,1,0,0,0,1,1,1,39,31.0,0
0,0,0,1,0,1,3,0,24,7.05,0
0,0,0,1,1,0,2,0,35,21.0,0
0,0,0,1,0,1,3,0,22,7.25,0
0,0,0,1,0,1,2,0,30,13.0,0
0,0,1,0,0,1,3,0,22,7.75,1
0,1,0,0,1,0,1,1,31,113.275,1
0,0,0,1,1,0,3,0,27,7.925,0
0,0,0,1,0,1,2,0,40,27.0,1
0,1,0,0,1,0,1,1,36,76.2917,0
0,0,0,1,0,1,2,0,30,10.5,0
0,0,0,1,0,1,3,0,20,8.05,0
0,0,0,1,0,1,2,0,29,13.0,0
0,0,0,1,0,1,3,0,40,8.05,0
0,0,0,1,0,1,3,0,22,7.8958,0
0,0,0,1,0,1,1,1,35,90.0,1
0,0,0,1,0,1,3,0,22,9.35,0
0,0,0,1,0,1,2,0,19,10.5,0
0,0,0,1,0,1,3,0,20,7.25,0
0,0,0,1,0,1,2,0,18,13.0,0
0,0,0,1,1,0,3,0,12,25.4667,4
0,0,0,1,1,0,1,1,35,83.475,1
0,0,0,1,0,1,3,0,29,7.775,0
0,0,0,1,0,1,2,0,30,13.5,0
0,0,0,1,1,0,3,0,5,31.3875,6
0,0,0,1,0,1,2,0,25,10.5,0
0,0,0,1,1,0,3,0,21,7.55,0
0,0,0,1,0,1,2,0,44,26.0,1
0,0,0,1,1,0,2,0,8,26.25,2
0,0,0,1,0,1,2,0,19,10.5,0
0,0,0,1,0,1,2,0,33,12.275,0
0,1,0,0,1,0,3,0,19,14.4542,1
0,0,1,0,1,0,3,0,18,15.5,1
0,0,0,1,0,1,2,0,29,10.5,0
0,0,0,1,0,1,3,0,22,7.125,0
0,1,0,0,0,1,3,0,30,7.225,0
0,0,0,1,0,1,1,1,44,90.0,2
0,0,0,1,1,0,3,0,25,7.775,0
0,0,0,1,1,0,2,0,24,14.5,2
0,0,0,1,0,1,1,1,37,52.5542,2
0,0,0,1,0,1,2,0,54,26.0,1
0,0,0,1,0,1,3,0,19,7.25,0
0,0,0,1,1,0,3,1,29,10.4625,2
0,0,0,1,0,1,1,1,62,26.55,0
0,0,0,1,0,1,3,0,30,16.1,1
0,0,0,1,1,0,3,0,41,20.2125,2
0,1,0,0,1,0,3,0,27,15.2458,2
0,1,0,0,1,0,1,0,37,79.2,0
0,0,0,1,1,0,1,1,30,86.5,0
0,1,0,0,1,0,1,0,38,512.3292,0
0,0,0,1,1,0,2,0,60,26.0,1
0,0,1,0,0,1,3,0,26,7.75,0
0,0,0,1,0,1,3,0,3,31.3875,6
0,0,0,1,0,1,1,1,52,79.65,2
0,0,0,1,0,1,1,1,45,0.0,0
0,0,1,0,1,0,3,0,23,7.75,0
0,0,0,1,0,1,2,0,36,10.5,0
0,0,0,1,0,1,3,0,16,39.6875,5
0,0,0,1,0,1,3,0,25,7.775,1
0,0,0,1,1,0,1,1,59,153.4625,1
0,1,0,0,1,0,1,1,39,135.6333,0
0,0,0,1,0,1,1,0,28,31.0,0
0,0,0,1,0,1,3,0,25,0.0,0
0,0,0,1,1,0,2,0,41,19.5,1
0,1,0,0,0,1,1,1,36,29.7,1
0,0,1,0,1,0,3,0,29,7.75,0
0,1,0,0,1,0,1,1,62,77.9583,1
0,0,0,1,1,0,3,0,45,7.75,0
1,0,0,0,0,1,2,0,18,0.0,0
0,0,1,0,0,1,3,0,7,29.125,5
0,0,0,1,1,0,3,0,39,20.25,2
0,0,1,0,0,1,3,0,65,7.75,0
0,0,0,1,0,1,3,0,28,7.8542,0
0,0,0,1,0,1,3,0,16,9.5,0
0,0,0,1,0,1,3,0,18,8.05,0
0,0,0,1,0,1,1,1,57,26.0,0
0,1,0,0,0,1,3,0,33,8.6625,0
0,0,0,1,0,1,3,0,36,9.5,0
0,0,0,1,0,1,3,0,22,7.8958,0
0,0,0,1,0,1,2,0,41,13.0,0
0,0,1,0,1,0,3,0,22,7.75,0
0,0,0,1,1,0,1,0,26,78.85,0
0,1,0,0,1,0,1,1,19,91.0792,1
0,1,0,0,0,1,2,1,36,12.875,0
0,0,0,1,1,0,3,0,24,8.85,0
0,0,0,1,0,1,3,0,24,7.8958,0
0,1,0,0,0,1,1,0,31,27.7208,0
0,1,0,0,0,1,3,0,35,7.2292,0
0,0,0,1,1,0,1,1,2,151.55,3
0,0,0,1,0,1,1,1,47,30.5,0
0,1,0,0,1,0,1,1,50,247.5208,1
0,0,1,0,1,0,3,0,20,7.75,0
0,0,1,0,0,1,3,0,24,23.25,2
0,0,0,1,0,1,3,0,19,0.0,0
0,0,1,0,1,0,2,1,46,12.35,0
0,0,0,1,0,1,3,0,28,8.05,0
0,0,0,1,0,1,1,1,0,151.55,3
0,1,0,0,1,0,1,0,42,110.8833,0
0,1,0,0,1,0,1,1,22,108.9,1
0,1,0,0,0,1,2,0,30,24.0,1
0,1,0,0,1,0,1,1,31,56.9292,0
0,1,0,0,1,0,1,1,24,83.1583,0
0,1,0,0,1,0,1,1,18,262.375,4
0,0,0,1,1,0,2,0,26,26.0,2
0,0,0,1,0,1,3,0,28,7.8958,0
0,0,0,1,0,1,2,0,47,26.25,2
0,0,0,1,1,0,3,0,26,7.8542,0
0,0,0,1,1,0,2,0,24,26.0,1
0,0,0,1,0,1,2,0,54,14.0,0
0,0,0,1,1,0,1,1,31,164.8667,2
0,1,0,0,1,0,1,1,39,134.5,2
0,0,0,1,0,1,3,0,22,7.25,0
0,0,0,1,0,1,3,0,27,7.8958,0
0,0,1,0,1,0,2,0,30,12.35,0
0,0,0,1,1,0,2,0,28,29.0,2
0,0,0,1,0,1,3,0,19,69.55,10
0,1,0,0,1,0,1,1,36,135.6333,0
0,0,0,1,0,1,3,0,61,6.2375,0
0,0,0,1,1,0,2,1,36,13.0,0
0,0,0,1,1,0,3,0,31,20.525,2
0,1,0,0,1,0,1,1,17,57.9792,1
0,0,1,0,1,0,3,0,29,23.25,2
0,0,0,1,0,1,1,1,40,28.5,0
0,0,0,1,0,1,1,1,38,153.4625,1
0,0,0,1,0,1,3,0,15,18.0,2
0,0,0,1,1,0,1,0,42,133.65,1
0,0,0,1,0,1,3,0,30,7.8958,0
0,0,0,1,0,1,1,1,29,66.6,1
0,1,0,0,1,0,1,1,41,134.5,0
0,0,0,1,0,1,3,0,45,8.05,0
0,0,0,1,0,1,1,1,45,35.5,0
0,0,0,1,0,1,2,1,2,26.0,2
0,0,0,1,1,0,1,1,24,263.0,5
0,0,0,1,0,1,2,0,27,13.0,0
0,0,0,1,0,1,2,0,25,13.0,0
0,0,0,1,0,1,2,0,38,13.0,0
0,0,0,1,1,0,2,1,18,13.0,0
0,0,0,1,1,0,2,0,39,13.0,0
0,0,0,1,0,1,3,0,9,15.9,2
0,0,0,1,0,1,3,0,42,8.6625,0
0,0,0,1,0,1,3,0,23,9.225,0
0,0,0,1,0,1,1,1,43,35.0,0
0,1,0,0,0,1,3,0,17,7.2292,2
0,0,0,1,0,1,3,0,25,17.8,1
0,1,0,0,0,1,3,0,25,7.225,0
0,0,0,1,0,1,3,0,28,9.5,0
0,0,0,1,1,0,1,1,22,55.0,1
0,0,0,1,1,0,2,0,38,13.0,0
0,0,1,0,1,0,3,0,22,7.8792,0
0,0,1,0,1,0,3,0,23,7.8792,0
0,0,0,1,0,1,3,0,40,27.9,5
0,1,0,0,0,1,2,0,29,27.7208,1
0,1,0,0,1,0,3,0,45,14.4542,1
0,0,0,1,0,1,3,0,35,7.05,0
0,0,1,0,0,1,3,0,27,15.5,1
0,0,0,1,0,1,3,0,30,7.25,0
0,1,0,0,1,0,1,1,60,75.25,1
0,1,0,0,1,0,3,0,35,7.2292,0
0,0,1,0,1,0,3,0,26,7.75,0
0,1,0,0,1,0,1,1,24,69.3,0
0,1,0,0,0,1,1,1,25,55.4417,1
0,0,0,1,0,1,3,0,18,6.4958,1
0,0,0,1,0,1,3,0,18,8.05,0
0,1,0,0,0,1,1,0,22,135.6333,0
0,0,0,1,1,0,3,0,3,21.075,4
0,1,0,0,1,0,1,0,25,82.1708,1
0,0,0,1,1,0,3,0,22,7.25,0
0,0,0,1,0,1,1,1,27,211.5,2
0,1,0,0,0,1,3,0,20,4.0125,0
0,0,0,1,0,1,3,0,19,7.775,0
0,1,0,0,1,0,1,0,46,227.525,0
0,1,0,0,1,0,3,0,1,15.7417,2
0,0,0,1,0,1,3,0,32,7.925,0
0,0,0,1,1,0,1,0,35,52.0,1
0,0,0,1,0,1,3,0,27,7.8958,0
0,0,0,1,0,1,2,0,21,73.5,0
0,0,0,1,0,1,3,0,1,46.9,7
0,0,0,1,1,0,2,0,36,13.0,0
0,0,1,0,0,1,3,0,20,7.7292,0
0,1,0,0,1,0,2,0,17,12.0,0
0,0,0,1,0,1,1,1,36,120.0,3
0,0,0,1,0,1,3,0,21,7.7958,0
0,0,0,1,0,1,3,0,28,7.925,2
0,1,0,0,1,0,1,1,23,113.275,1
0,0,0,1,1,0,3,1,24,16.7,2
0,0,0,1,0,1,3,0,22,7.7958,0
0,0,0,1,1,0,3,0,31,7.8542,0
0,0,0,1,0,1,2,0,46,26.0,0
0,0,0,1,0,1,2,0,23,10.5,0
0,0,0,1,1,0,2,0,26,12.65,0
0,0,0,1,0,1,3,0,39,7.925,0
0,0,0,1,0,1,3,0,26,8.05,0
0,0,0,1,1,0,3,0,21,9.825,1
0,0,0,1,0,1,3,0,28,15.85,1
0,0,0,1,1,0,3,0,20,8.6625,0
0,0,0,1,0,1,2,0,33,21.0,1
0,0,0,1,0,1,3,0,51,7.75,0
0,0,0,1,0,1,2,0,3,18.75,2
0,0,0,1,0,1,3,0,21,7.775,0
0,0,0,1,1,0,3,0,3,25.4667,4
0,0,0,1,0,1,3,0,42,7.8958,0
0,0,1,0,0,1,3,0,27,6.8583,0
0,0,0,1,1,0,1,1,33,90.0,1
1,0,0,0,0,1,2,0,21,0.0,0
0,0,0,1,0,1,3,0,44,7.925,0
0,0,0,1,1,0,3,0,31,8.05,0
0,0,0,1,1,0,2,0,34,32.5,2
0,0,0,1,1,0,2,0,17,13.0,2
0,0,0,1,0,1,2,0,30,13.0,0
0,0,0,1,1,0,3,0,10,24.15,2
0,1,0,0,0,1,3,0,29,7.8958,0
0,0,1,0,0,1,3,0,28,7.7333,0
0,0,0,1,0,1,3,0,29,7.875,0
0,0,0,1,1,0,3,0,28,14.4,2
0,0,0,1,0,1,3,0,18,20.2125,2
0,0,0,1,0,1,3,0,54,7.25,0
0,0,0,1,1,0,2,0,28,26.0,1
0,0,0,1,1,0,2,0,19,26.0,0
0,0,1,0,0,1,3,0,28,7.75,0
0,0,0,1,0,1,3,1,32,8.05,0
0,0,0,1,0,1,1,1,28,26.55,0
0,0,0,1,1,0,3,0,32,16.1,1
0,0,0,1,1,0,2,0,42,26.0,1
0,0,0,1,0,1,3,0,17,7.125,0
0,1,0,0,0,1,1,1,50,55.9,1
0,0,0,1,1,0,1,1,13,120.0,3
0,0,0,1,1,0,3,0,20,34.375,4
0,0,0,1,1,0,2,0,23,18.75,5
0,0,0,1,0,1,1,1,64,263.0,5
0,0,0,1,0,1,2,0,31,10.5,0
0,0,0,1,1,0,2,0,48,26.25,2
0,0,0,1,0,1,3,0,19,9.5,0
0,0,0,1,0,1,3,0,25,7.775,1
0,0,0,1,1,0,2,0,28,13.0,0
0,0,0,1,0,1,3,0,29,8.1125,0
0,0,0,1,0,1,1,1,4,81.8583,2
0,0,0,1,1,0,2,0,13,19.5,1
0,0,0,1,0,1,1,0,34,26.55,0
0,1,0,0,1,0,3,0,5,19.2583,3
0,0,0,1,0,1,1,1,52,30.5,0
0,0,0,1,0,1,2,0,36,27.75,3
0,0,0,1,0,1,3,0,28,19.9667,1
0,0,0,1,0,1,1,1,30,27.75,0
0,1,0,0,0,1,1,1,47,89.1042,1
0,0,0,1,0,1,3,0,24,8.05,0
0,1,0,0,0,1,3,0,29,7.8958,0
0,1,0,0,0,1,1,1,65,26.55,0
0,0,0,1,1,0,1,1,31,51.8625,1
0,0,0,1,1,0,2,0,48,10.5,0
0,0,1,0,0,1,3,0,16,7.75,0
0,0,0,1,0,1,1,1,47,26.55,0
0,0,0,1,0,1,3,0,34,8.05,0
0,0,0,1,0,1,1,1,47,38.5,0
0,0,0,1,0,1,2,0,48,13.0,0
0,0,0,1,0,1,3,0,34,8.05,0
0,0,0,1,0,1,3,0,37,7.05,0
1,0,0,0,0,1,2,0,21,0.0,0
0,0,0,1,0,1,1,0,56,26.55,0
0,0,1,0,0,1,3,0,22,7.725,0
0,1,0,0,1,0,3,0,0,19.2583,3
0,0,0,1,0,1,3,0,39,7.25,0
0,0,0,1,0,1,3,0,38,8.6625,0
0,0,0,1,1,0,2,0,33,27.75,3
0,0,0,1,1,0,2,1,23,13.7917,0
0,0,0,1,1,0,3,0,22,9.8375,0
0,0,0,1,0,1,1,1,40,52.0,0
0,0,0,1,0,1,2,0,33,21.0,1
0,0,0,1,0,1,3,0,29,7.0458,1
0,0,0,1,0,1,3,0,22,7.5208,0
0,0,0,1,1,0,3,0,2,12.2875,1
0,0,0,1,0,1,3,0,10,46.9,7
1,0,0,0,0,1,2,0,37,0.0,0
0,0,0,1,0,1,3,0,50,8.05,0
0,0,0,1,1,0,3,0,63,9.5875,0
0,1,0,0,0,1,1,1,25,91.0792,1
0,0,0,1,1,0,3,0,8,25.4667,4
0,0,0,1,1,0,1,1,31,90.0,1
0,1,0,0,0,1,1,1,58,29.7,0
0,0,0,1,0,1,3,0,30,8.05,0
0,0,0,1,0,1,3,0,3,15.9,2
0,0,0,1,0,1,3,0,19,19.9667,1
0,0,0,1,0,1,3,0,21,7.25,0
0,0,0,1,0,1,1,1,55,30.5,0
0,1,0,0,0,1,1,0,71,49.5042,0
0,0,0,1,0,1,3,0,21,8.05,0
0,1,0,0,0,1,3,0,26,14.4583,0
0,1,0,0,1,0,1,1,54,78.2667,1
0,0,0,1,0,1,3,0,55,15.1,0
0,0,0,1,1,0,1,1,25,151.55,3
0,0,0,1,0,1,3,0,24,7.7958,0
0,0,0,1,0,1,3,0,17,8.6625,0
0,0,1,0,1,0,3,0,22,7.75,0
0,0,1,0,1,0,3,0,21,7.6292,0
0,0,0,1,1,0,3,0,37,9.5875,0
0,0,0,1,1,0,1,1,20,86.5,0
0,1,0,0,0,1,1,1,24,108.9,1
0,0,0,1,1,0,2,0,33,26.0,2
0,0,0,1,0,1,1,0,37,26.55,0
0,0,0,1,0,1,3,0,28,22.525,0
0,0,0,1,0,1,3,0,26,56.4958,0
0,0,1,0,0,1,3,0,29,7.75,0
0,0,0,1,0,1,3,0,66,8.05,0
0,0,0,1,0,1,1,1,35,26.2875,0
0,1,0,0,1,0,1,0,54,59.4,1
0,0,0,1,0,1,3,0,24,7.4958,0
0,0,0,1,0,1,1,1,48,34.0208,0
0,0,0,1,1,0,2,1,34,10.5,0
0,0,1,0,0,1,3,0,29,24.15,0
0,0,0,1,1,0,2,0,36,26.0,1
0,0,0,1,0,1,3,0,32,7.8958,0
0,0,0,1,1,0,1,1,33,93.5,0
0,0,0,1,0,1,3,0,21,7.8958,0
0,1,0,0,0,1,3,0,30,7.225,0
0,1,0,0,1,0,1,1,44,57.9792,1
0,1,0,0,0,1,3,0,18,7.2292,0
0,0,1,0,0,1,3,0,25,7.75,0
0,0,0,1,1,0,2,0,50,10.5,0
0,0,0,1,0,1,1,1,57,221.7792,0
0,0,0,1,0,1,3,0,39,7.925,0
0,0,0,1,0,1,2,0,23,11.5,3
0,0,0,1,1,0,2,0,2,26.0,2
0,1,0,0,0,1,3,0,17,7.2292,0
0,1,0,0,0,1,3,0,15,7.2292,2
0,1,0,0,1,0,3,0,24,22.3583,2
0,0,0,1,1,0,3,0,30,8.6625,0
0,0,0,1,1,0,2,0,7,26.25,2
0,0,0,1,0,1,1,1,46,26.55,0
0,1,0,0,1,0,1,0,27,106.425,0
0,0,0,1,0,1,3,0,69,14.5,0
0,1,0,0,1,0,1,1,22,49.5,2
0,0,0,1,1,0,1,1,39,71.0,2
0,0,0,1,1,0,3,0,9,31.275,6
0,0,0,1,1,0,3,0,11,31.275,6
0,0,0,1,0,1,2,0,32,26.0,1
0,1,0,0,0,1,1,1,50,106.425,1
0,0,0,1,0,1,1,0,64,26.0,0
0,0,0,1,1,0,2,0,19,26.0,1
0,1,0,0,0,1,2,0,26,13.8625,0
0,0,0,1,0,1,3,0,33,20.525,2
0,0,0,1,0,1,2,0,8,36.75,2
0,1,0,0,0,1,1,1,17,110.8833,2
0,0,0,1,0,1,2,0,27,26.0,0
0,0,1,0,0,1,3,0,21,7.8292,0
0,1,0,0,0,1,3,0,22,7.225,0
0,0,0,1,1,0,3,0,22,7.775,0
0,0,0,1,0,1,1,0,62,26.55,0
0,1,0,0,1,0,1,1,48,39.6,1
0,0,0,1,1,0,1,1,39,79.65,2
0,0,0,1,1,0,3,0,36,17.4,1
0,0,1,0,0,1,3,0,30,7.75,0
0,0,0,1,0,1,3,0,40,7.8958,0
0,0,0,1,0,1,2,0,28,13.5,0
0,0,0,1,0,1,3,0,39,8.05,0
0,0,0,1,1,0,3,0,63,8.05,0
0,0,0,1,0,1,3,0,24,24.15,2
0,0,0,1,0,1,3,0,19,7.8958,0
0,0,0,1,1,0,3,0,29,21.075,4
0,1,0,0,0,1,3,0,28,7.2292,0
0,0,0,1,0,1,3,0,32,7.8542,0
0,0,0,1,0,1,2,0,62,10.5,0
